% Model:              PLacek_MembTVNJ_ArticleDims_Rh100um_hg10um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 12:28
% Dimension:          1
% Nodes:              1801
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(xi)
5.69627709928601E-5       2.768453313306385E-11
5.7132839869654856E-5     2.768220828129476E-11
5.730290874644962E-5      2.7679876441871742E-11
5.747297762324438E-5      2.7677537610948144E-11
5.764304650003915E-5      2.7675191788523966E-11
5.781311537683391E-5      2.7672838974599206E-11
5.7983184253628675E-5     2.767047916917387E-11
5.815325313042344E-5      2.7668112372247947E-11
5.83233220072182E-5       2.7665738580919743E-11
5.8493390884012966E-5     2.766335779100696E-11
5.866345976080773E-5      2.7660970002509597E-11
5.8833528637602494E-5     2.7658575215427645E-11
5.900359751439725E-5      2.7656173429761118E-11
5.9173666391192015E-5     2.7653764645510002E-11
5.934373526798678E-5      2.7651348859573017E-11
5.951380414478154E-5      2.7648926067396198E-11
5.96838730215763E-5       2.7646496268979538E-11
5.9853941898371064E-5     2.764405946432304E-11
6.0024010775165814E-5     2.7641615653426704E-11
6.019407965196058E-5      2.7639164836290533E-11
6.036414852875534E-5      2.7636707009606646E-11
6.0534217405550106E-5     2.7634242168388914E-11
6.070428628234486E-5      2.7631770312637342E-11
6.087435515913962E-5      2.762929144235193E-11
6.104442403593438E-5      2.7626805557532683E-11
6.121449291272915E-5      2.7624312658179595E-11
6.138456178952391E-5      2.7621812740732774E-11
6.155463066631868E-5      2.7619305799719787E-11
6.172469954311344E-5      2.7616791835140616E-11
6.18947684199082E-5       2.7614270846995273E-11
6.206483729670297E-5      2.761174283528375E-11
6.223490617349773E-5      2.7609207800006062E-11
6.24049750502925E-5       2.7606665737317568E-11
6.257504392708726E-5      2.7604116641225872E-11
6.274511280388202E-5      2.7601560511730965E-11
6.291518168067679E-5      2.7598997348832853E-11
6.308525055747155E-5      2.7596427152531542E-11
6.325531943426631E-5      2.7593849922827016E-11
6.342538831106108E-5      2.7591265655591157E-11
6.359545718785583E-5      2.7588674344284108E-11
6.376552606465059E-5      2.7586075988905865E-11
6.393559494144536E-5      2.7583470589456423E-11
6.41056638182401E-5       2.7580858145935793E-11
6.427573269503487E-5      2.757823865834397E-11
6.444580157182963E-5      2.7575612122252965E-11
6.461587044862441E-5      2.7572978530554516E-11
6.478593932541916E-5      2.757033788324862E-11
6.495600820221393E-5      2.7567690180335276E-11
6.512607707900869E-5      2.756503542181449E-11
6.529614595580345E-5      2.7562373607686253E-11
6.546621483259822E-5      2.755970473318897E-11
6.5636283709393E-5        2.755702879062266E-11
6.580635258618774E-5      2.7554345779987314E-11
6.597642146298251E-5      2.755165570128294E-11
6.614649033977727E-5      2.754895855450954E-11
6.631655921657204E-5      2.754625433966711E-11
6.64866280933668E-5       2.7543543051630784E-11
6.665669697016156E-5      2.754082468207728E-11
6.682676584695633E-5      2.7538099231006585E-11
6.699683472375108E-5      2.753536669841871E-11
6.716690360054584E-5      2.7532627084313653E-11
6.73369724773406E-5       2.7529880388691413E-11
6.750704135413537E-5      2.7527126606037846E-11
6.767711023093013E-5      2.7524365727363712E-11
6.784717910772488E-5      2.7521597752669036E-11
6.801724798451965E-5      2.7518822681953806E-11
6.818731686131441E-5      2.751604051521803E-11
6.835738573810918E-5      2.75132512524617E-11
6.852745461490394E-5      2.7510454887754484E-11
6.86975234916987E-5       2.7507651411391222E-11
6.886759236849347E-5      2.7504840823371928E-11
6.903766124528822E-5      2.750202312369659E-11
6.920773012208298E-5      2.749919831236521E-11
6.937779899887774E-5      2.7496366389377794E-11
6.954786787567251E-5      2.749352734836735E-11
6.971793675246727E-5      2.7490681178853828E-11
6.988800562926202E-5      2.7487827880837214E-11
7.005807450605679E-5      2.748496745431751E-11
7.022814338285155E-5      2.7482099899294724E-11
7.039821225964631E-5      2.7479225215768848E-11
7.056828113644108E-5      2.7476343396918808E-11
7.073835001323584E-5      2.7473454431419147E-11
7.09084188900306E-5       2.747055831926987E-11
7.107848776682537E-5      2.7467655060470974E-11
7.124855664362013E-5      2.7464744655022468E-11
7.14186255204149E-5       2.746182710292434E-11
7.158869439720966E-5      2.745890239687239E-11
7.175876327400443E-5      2.745597052461532E-11
7.192883215079919E-5      2.7453031486153137E-11
7.209890102759395E-5      2.745008528148584E-11
7.226896990438872E-5      2.7447131910613436E-11
7.243903878118348E-5      2.744417137353592E-11
7.260910765797824E-5      2.7441203662418682E-11
7.277917653477301E-5      2.7438228763995732E-11
7.294924541156777E-5      2.743524667826707E-11
7.311931428836252E-5      2.7432257405232703E-11
7.32893831651573E-5       2.742926094489263E-11
