% Model:              PLacek_MembTVNJ_ArticleDims_Rh20um_hg5um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:51
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(xi)
1.361506025390249E-4      6.161953491804598E-11
1.365784077543277E-4      6.120522986854327E-11
1.370062129696305E-4      6.079119138302227E-11
1.374340181849333E-4      6.0377419461483E-11
1.378618234002361E-4      5.99639141039254E-11
1.382896286155389E-4      5.955067531034953E-11
1.387174338308417E-4      5.913774453034861E-11
1.391452390461445E-4      5.872516210509601E-11
1.395730442614473E-4      5.831292803459171E-11
1.4000084947675013E-4     5.790104231883572E-11
1.4042865469205294E-4     5.7489504957828076E-11
1.4085645990735574E-4     5.707831595156871E-11
1.4128426512265854E-4     5.666747530005768E-11
1.4171207033796137E-4     5.625702411711149E-11
1.4213987555326417E-4     5.584700226528797E-11
1.4256768076856697E-4     5.5437409744587095E-11
1.4299548598386977E-4     5.5028246555008876E-11
1.4342329119917258E-4     5.4619512696553327E-11
1.4385109641447538E-4     5.421120816922042E-11
1.442789016297782E-4      5.3803332973010185E-11
1.44706706845081E-4       5.339592777486016E-11
1.451345120603838E-4      5.29890319188659E-11
1.4556231727568659E-4     5.258264540502744E-11
1.4599012249098941E-4     5.217676823334476E-11
1.4641792770629222E-4     5.177140040381787E-11
1.46845732921595E-4       5.136654191644675E-11
1.4727353813689782E-4     5.096219277123143E-11
1.4770134335220065E-4     5.055839314956225E-11
1.4812914856750345E-4     5.015518183248153E-11
1.4855695378280625E-4     4.9752558819989265E-11
1.4898475899810905E-4     4.935052411208546E-11
1.4941256421341186E-4     4.894907770877013E-11
1.4984036942871466E-4     4.8548219610043235E-11
1.502681746440175E-4      4.814794981590482E-11
1.5069597985932032E-4     4.774830797626642E-11
1.511237850746231E-4      4.73493322492379E-11
1.515515902899259E-4      4.695102263481929E-11
1.5197939550522872E-4     4.655337913301057E-11
1.5240720072053152E-4     4.6156401743811756E-11
1.5283500593583433E-4     4.576009046722283E-11
1.5326281115113713E-4     4.536444530324381E-11
1.5369061636643996E-4     4.496950531410671E-11
1.5411842158174273E-4     4.457530797927562E-11
1.5454622679704553E-4     4.4181853298750534E-11
1.5497403201234834E-4     4.3789141272531455E-11
1.5540183722765116E-4     4.3397171900618394E-11
1.5582964244295397E-4     4.300594518301133E-11
1.5625744765825677E-4     4.2615461119710283E-11
1.566852528735596E-4      4.22257581255933E-11
1.571130580888624E-4      4.1836872955948696E-11
1.5754086330416517E-4     4.1448805610776436E-11
1.57968668519468E-4       4.106155609007655E-11
1.583964737347708E-4      4.067512439384903E-11
1.588242789500736E-4      4.0289510522093854E-11
1.592520841653764E-4      3.990471447481105E-11
1.596798893806792E-4      3.952077397324873E-11
