% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 13:45
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(w2)
9.148936170212759E-5      2.1850969682458997E-11
9.191489361702122E-5      2.1801446835418985E-11
9.234042553191483E-5      2.175175953818499E-11
9.276595744680844E-5      2.1701907790757012E-11
9.319148936170208E-5      2.1651891593135054E-11
9.361702127659569E-5      2.1601710945319116E-11
9.40425531914893E-5       2.1551365847309186E-11
9.446808510638292E-5      2.1500856299105278E-11
9.489361702127655E-5      2.1450185399691666E-11
9.531914893617015E-5      2.1399356898124564E-11
9.574468085106377E-5      2.134837079440397E-11
9.617021276595738E-5      2.12972270885299E-11
9.6595744680851E-5        2.124592578050234E-11
9.702127659574462E-5      2.1194466870321283E-11
9.744680851063823E-5      2.1142850357986745E-11
9.787234042553185E-5      2.1091079455689584E-11
9.829787234042548E-5      2.1039158008872463E-11
9.872340425531908E-5      2.0987086017535374E-11
9.914893617021271E-5      2.093486348167833E-11
9.957446808510633E-5      2.088249040130133E-11
9.999999999999995E-5      2.082996677640435E-11
1.0042553191489358E-4     2.0777292606987423E-11
1.008510638297872E-4      2.0724471214614537E-11
1.012765957446808E-4      2.0671506536319457E-11
1.0170212765957441E-4     2.061839857210218E-11
1.0212765957446803E-4     2.0565147321962702E-11
1.0255319148936166E-4     2.0511752785901042E-11
1.0297872340425527E-4     2.0458214963917173E-11
1.0340425531914888E-4     2.0404533856011115E-11
1.038297872340425E-4      2.0350712889084658E-11
1.0425531914893612E-4     2.0296756086825435E-11
1.0468085106382971E-4     2.024266344923344E-11
1.0510638297872335E-4     2.0188434976308673E-11
1.0553191489361695E-4     2.0134070668051144E-11
1.0595744680851058E-4     2.0079570524460837E-11
1.0638297872340419E-4     2.0024934545537764E-11
1.068085106382978E-4      1.9970166259297944E-11
1.0723404255319141E-4     1.991526977101405E-11
1.0765957446808503E-4     1.9860245080686078E-11
1.0808510638297865E-4     1.980509218831403E-11
1.0851063829787227E-4     1.9749811093897915E-11
1.0893617021276588E-4     1.9694401797437718E-11
1.093617021276595E-4      1.9638864298933447E-11
1.0978723404255313E-4     1.9583202223115648E-11
1.1021276595744674E-4     1.9527419751652944E-11
1.1063829787234035E-4     1.947151688454531E-11
1.1106382978723399E-4     1.9415493621792773E-11
1.114893617021276E-4      1.9359349963395327E-11
1.1191489361702123E-4     1.9303085909352952E-11
1.1234042553191484E-4     1.9246701459665672E-11
1.1276595744680846E-4     1.919020033121432E-11
1.1319148936170207E-4     1.9133586776764757E-11
1.1361702127659569E-4     1.907686079631699E-11
1.140425531914893E-4      1.9020022389871018E-11
1.1446808510638292E-4     1.8963071557426847E-11
1.1489361702127652E-4     1.8906008298984463E-11
1.1531914893617014E-4     1.884883261454388E-11
1.1574468085106377E-4     1.8791548308420094E-11
1.1617021276595738E-4     1.8734159699077287E-11
1.1659574468085099E-4     1.8676666786515456E-11
1.1702127659574462E-4     1.8619069570734604E-11
1.1744680851063824E-4     1.8561368051734735E-11
1.1787234042553185E-4     1.850356222951584E-11
1.1829787234042546E-4     1.8445652104077925E-11
1.1872340425531909E-4     1.8387641562313547E-11
1.191489361702127E-4      1.8329534982896282E-11
1.1957446808510631E-4     1.8271332365826127E-11
1.1999999999999994E-4     1.8213033711103088E-11
1.2042553191489355E-4     1.8154639018727168E-11
1.2085106382978716E-4     1.809614828869835E-11
1.2127659574468078E-4     1.8037561521016654E-11
