% Model:              PLacek_MembTVNJ_ArticleDims_Rh20um_hg5um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 10:43
% Dimension:          1
% Nodes:              555
% Expressions:        2
% Description:        Global
% f (Hz)                  ,                        , 
1145512.941445536         2.2618537229081073E-12   4.605647549872633E-14
1148153.6214968818        2.239313187274578E-12    4.4777496994767115E-14
1150800.3889444356        2.2172195473678607E-12   4.3655356846298256E-14
1153453.257821093         2.1955340327191387E-12   4.267673088215311E-14
1156112.2421920982        2.174219611985049E-12    4.182922259401133E-14
1158777.3561551261        2.153240683968764E-12    4.110204566494932E-14
1161448.613840344         2.132563071466778E-12    4.0486238562616256E-14
1164126.0294104908        2.112153989087852E-12    3.9974595171172686E-14
1166809.617060963         2.0919819114590785E-12   3.956149433163636E-14
1169499.39101987          2.07201636216179E-12     3.924272603340068E-14
1172195.3655481304        2.0522276561796013E-12   3.901535124910773E-14
1174897.5549395303        2.032586618080924E-12    3.887760383022028E-14
1177605.9735208065        2.0130642865133375E-12   3.882883283758458E-14
1180320.6356517298        1.9936316075573204E-12   3.886948173581202E-14
1183041.5557251659        1.9742591145872913E-12   3.900110186231204E-14
1185768.7481671597        1.9549165892728027E-12   3.922639942176279E-14
1188502.2274370189        1.9355726962136586E-12   3.954931728994881E-14
1191242.0080273738        1.9161945818423338E-12   3.9975155027821766E-14
1193988.104464273         1.8967474262060238E-12   4.051073281621944E-14
1196740.5313072442        1.877193933819512E-12    4.1164607714379904E-14
1199499.3031493782        1.8574937466757277E-12   4.194735397857198E-14
1202264.4346174132        1.8376027584750823E-12   4.287192348530442E-14
1205035.9403717986        1.8174723038547354E-12   4.395410804214103E-14
1207813.8351067798        1.7970481894357948E-12   4.52131331792857E-14
1210598.1335504828        1.7762695242954917E-12   4.6672423823785776E-14
1213388.8504649762        1.7550672952330312E-12   4.836059743818041E-14
1216186.000646368         1.7333626158405704E-12   5.031276181598992E-14
1218989.5989248673        1.7110645564590315E-12   5.2572225912359794E-14
1221799.660164871         1.6880674325486358E-12   5.5192777722132406E-14
1224616.1992650488        1.6642473890923667E-12   5.824175096954515E-14
1227439.2311584083        1.6394580646823065E-12   6.180420451748797E-14
1230268.770812381         1.613525046218107E-12    6.59886949047725E-14
1233104.8332289096        1.5862387280372303E-12   7.093536637108562E-14
1235947.4334445095        1.5573450623624614E-12   7.68274699747287E-14
1238796.586530369         1.5265335293020048E-12   8.390805010193651E-14
1241652.307592412         1.4934214754555705E-12   9.25045717241717E-14
1244514.6117713845        1.4575338196149207E-12   1.0306600826806064E-13
1247383.5142429431        1.4182771533878229E-12   1.162199235264201E-13
1250259.0302177214        1.3749078929119538E-12   1.3286240209840934E-13
1253141.1749414157        1.3264964881076733E-12   1.5430329858077266E-13
1256029.9636948754        1.2718967799301233E-12   1.82507035839055E-13
1258925.411794166         1.209749671075998E-12    2.2050252761640024E-13
1261827.5345906706        1.1386067910131155E-12   2.730983600989233E-13
1264736.3474711522        1.0574219594962565E-12   3.4815044755187885E-13
1267651.865857845         9.671342835389951E-13    4.58778816488402E-13
1270574.105208542         8.754576775390807E-13    6.268183721530796E-13
1273503.081016663         8.105916991769577E-13    8.853678952877971E-13
1276438.8088113435        8.53701460734791E-13     1.2639211335662236E-12
1279381.3041575253        1.1649781613172712E-12   1.696981189223403E-12
1282330.5826560205        1.7998688238515587E-12   1.8776019738597226E-12
1285286.6599436153        2.3825743282053314E-12   1.5878126277523142E-12
1288249.551693135         2.6091574534399048E-12   1.1253003825077827E-12
1291219.2736135335        2.596922743109817E-12    7.603419565330459E-13
1294195.8414499862        2.503281379125076E-12    5.226924940884912E-13
1297179.2709839572        2.3972116784404738E-12   3.7262203127716503E-13
1300169.5780332899        2.2997575500554515E-12   2.7585471091337986E-13
1303166.7784523           2.2151256168314404E-12   2.1128431476435238E-13
1306170.8881318404        2.142542865365714E-12    1.6666694675129739E-13
1309181.922999407         2.080103799353193E-12    1.348429077959702E-13
1312199.899019204         2.0259171089316816E-12   1.1150718046808224E-13
1315224.8321922377        1.9783910327337972E-12   9.398505073182668E-14
1318256.7385564074        1.9362563052582058E-12   8.055954588877611E-14
1321295.6341865766        1.8985188995788064E-12   7.00933098811751E-14
1324341.5351946643        1.86440231432699E-12     6.180951521106542E-14
1327394.45772974          1.833296041565773E-12    5.5161345172774333E-14
1330454.41797809          1.8047135749505739E-12   4.975305974480441E-14
1333521.432163324         1.778260150069616E-12    4.5292495867742225E-14
1336595.5165464433        1.7536099503120945E-12   4.156267624434287E-14
1339676.6874259345        1.730491642798196E-12    3.84038059331929E-14
1342764.9611378643        1.7086795920917516E-12   3.5699790648247965E-14
1345860.354055947         1.6879875105398517E-12   3.336665767753666E-14
1348962.8825916534        1.6682624223710057E-12   3.1342753115104605E-14
1352072.563194278         1.6493785182314615E-12   2.958130334847476E-14
1355189.412351035         1.6312314101759887E-12   2.8045426586433985E-14
1358313.4465871542        1.613733301762556E-12    2.6705089622499062E-14
1361444.682465951         1.5968092317613928E-12   2.5535328198172698E-14
1364583.1365889239        1.5803942713493237E-12   2.451518054186063E-14
1367728.8255958494        1.5644314524290539E-12   2.3626991621130168E-14
1370881.766164855         1.5488702152282603E-12   2.285590813566349E-14
1374041.975012515         1.5336652131399112E-12   2.218948022928422E-14
1377209.4688939473        1.5187753626515692E-12   2.1617333534959085E-14
1380384.2646028837        1.5041630637499994E-12   2.1130895888523497E-14
1383566.3789717809        1.4897935411450704E-12   2.0723171081740182E-14
1386755.8288718895        1.4756342722626102E-12   2.038855487849073E-14
