% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 26 2025, 17:26
% Dimension:          1
% Nodes:              593
% Expressions:        2
% Description:        Global
% freq (Hz)               Re xi all, Im xi all     Re xi all, Im xi all
1518693.045973052         -6.099892059741776E-13   9.573548414664123E-13
1527460.5566077575        -7.4713343851593E-13     1.3873538528498654E-12
1536278.6826337224        -7.179153973362655E-13   2.0453075803668554E-12
1545147.716256796         -2.1884857354131509E-13  2.8465396632292796E-12
1554067.9513697366        9.076650590966912E-13    3.2272719666350094E-12
1563039.6835619777        1.968188593438579E-12    2.7314261087868573E-12
1572063.210129396         2.3754297434983175E-12   1.918573279481179E-12
1581138.8300841895        2.3591479352190278E-12   1.2885454224612708E-12
1590266.8441647617        2.2060831663300373E-12   8.839349745874022E-13
1599447.5548456984        2.0346410039997548E-12   6.299444330010101E-13
1608681.2663478001        1.879070156381143E-12    4.66206098586919E-13
1617968.2846481402        1.7455863237241714E-12   3.5656056913897534E-13
1627308.91749023          1.6324929049711607E-12   2.8031452526012415E-13
1636703.4743941894        1.53643585684074E-12     2.254357038535225E-13
1646152.2666670326        1.4541890949289638E-12   1.8468616610480823E-13
1655655.6074129536        1.3830579578081625E-12   1.5353640183673848E-13
1665213.8115437313        1.3208666837674106E-12   1.2903248433166046E-13
1674827.1957891395        1.2658255170592506E-12   1.091812811428448E-13
1684496.0787074529        1.2163812548225613E-12   9.266369738648547E-14
1694220.7806960135        1.1711760182249701E-12   7.879480731049624E-14
