% Model:              PLacek_MembTVNJ_ArticleDims_Rh100um_hg10um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:39
% Dimension:          1
% Nodes:              1801
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(xi)
3.876540117582053E-5      2.2088214021175053E-11
3.893547005261529E-5      2.207529719163906E-11
3.910553892941006E-5      2.2062327865284864E-11
3.927560780620482E-5      2.2049306042112464E-11
3.9445676682999584E-5     2.203623172212186E-11
3.961574555979435E-5      2.2023104905313063E-11
3.978581443658911E-5      2.200992559168606E-11
3.995588331338387E-5      2.1996693933164737E-11
4.012595219017863E-5      2.198341009040541E-11
4.02960210669734E-5       2.1970074063408083E-11
4.0466089943768154E-5     2.1956685852172754E-11
4.063615882056292E-5      2.1943245456699418E-11
4.0806227697357675E-5     2.192975287698808E-11
4.097629657415244E-5      2.1916208268722096E-11
4.11463654509472E-5       2.1902611796401485E-11
4.1316434327741966E-5     2.1888963460026236E-11
4.148650320453673E-5      2.1875263259596352E-11
4.165657208133149E-5      2.1861511195111837E-11
4.182664095812625E-5      2.1847707266572684E-11
4.1996709834921015E-5     2.1833851633402394E-11
4.216677871171578E-5      2.181994446393991E-11
4.233684758851054E-5      2.1805985758185225E-11
4.2506916465305307E-5     2.1791975516138345E-11
4.267698534210007E-5      2.1777913737799274E-11
4.2847054218894834E-5     2.1763800423168005E-11
4.30171230956896E-5       2.1749635735387374E-11
4.3187191972484355E-5     2.1735419846632187E-11
4.335726084927912E-5      2.1721152756902462E-11
4.3527329726073876E-5     2.170683446619819E-11
4.369739860286864E-5      2.1692464974519373E-11
4.38674674796634E-5       2.167804428186601E-11
4.403753635645816E-5      2.1663572555083065E-11
4.4207605233252925E-5     2.164904997017476E-11
4.437767411004769E-5      2.1634476527141095E-11
4.454774298684245E-5      2.1619852225982067E-11
4.471781186363721E-5      2.1605177066697674E-11
4.4887880740431973E-5     2.1590451049287924E-11
4.505794961722674E-5      2.1575674344286363E-11
4.52280184940215E-5       2.1560847131517884E-11
4.539808737081626E-5      2.1545969410982476E-11
4.556815624761102E-5      2.1531041182680146E-11
4.5738225124405786E-5     2.1516062446610896E-11
4.590829400120055E-5      2.1501033202774724E-11
4.6078362877995314E-5     2.148595362536281E-11
4.624843175479008E-5      2.1470823898029292E-11
4.641850063158484E-5      2.1455644020774165E-11
4.65885695083796E-5       2.1440413993597434E-11
4.675863838517436E-5      2.1425133816499102E-11
4.6928707261969126E-5     2.1409803489479164E-11
4.709877613876389E-5      2.139442319040585E-11
4.7268845015558654E-5     2.137899310671438E-11
4.743891389235341E-5      2.1363513238404745E-11
4.7608982769148175E-5     2.134798358547696E-11
4.777905164594294E-5      2.1332404147931014E-11
4.79491205227377E-5       2.1316774925766915E-11
4.8119189399532466E-5     2.1301096100522193E-11
4.828925827632723E-5      2.1285367863414244E-11
4.845932715312199E-5      2.1269590214443075E-11
4.8629396029916744E-5     2.1253763153608676E-11
4.8799464906711515E-5     2.1237886680911057E-11
4.896953378350627E-5      2.1221960796350208E-11
4.9139602660301036E-5     2.120598568507572E-11
4.93096715370958E-5       2.1189961542120128E-11
4.947974041389056E-5      2.1173888367483422E-11
4.9649809290685314E-5     2.1157766161165613E-11
4.981987816748008E-5      2.11415949231667E-11
4.998994704427484E-5      2.112537465348668E-11
5.0160015921069605E-5     2.110910554088527E-11
5.033008479786437E-5      2.1092787784196975E-11
5.050015367465913E-5      2.1076421383421794E-11
5.067022255145389E-5      2.1060006338559725E-11
5.0840291428248654E-5     2.104354264961078E-11
5.101036030504342E-5      2.102703031657494E-11
5.1180429181838175E-5     2.1010469531811153E-11
5.135049805863294E-5      2.0993860497951502E-11
5.15205669354277E-5       2.0977203214995995E-11
5.169063581222245E-5      2.096049768294463E-11
5.1860704689017224E-5     2.0943743901797406E-11
5.203077356581198E-5      2.0926941871554323E-11
5.2200842442606745E-5     2.0910091788164664E-11
5.237091131940151E-5      2.0893193858054105E-11
5.254098019619627E-5      2.0876248081222637E-11
5.2711049072991036E-5     2.085925445767027E-11
5.28811179497858E-5       2.0842212987397E-11
5.3051186826580564E-5     2.0825123670402822E-11
5.322125570337533E-5      2.080798670621457E-11
5.339132458017009E-5      2.079080230505405E-11
5.3561393456964855E-5     2.0773570466921257E-11
5.373146233375962E-5      2.075629119181619E-11
5.390153121055438E-5      2.0738964479738848E-11
5.407160008734914E-5      2.072159033068924E-11
5.4241668964143904E-5     2.0704168947753928E-11
5.441173784093867E-5      2.068670054496091E-11
5.4581806717733425E-5     2.066918512231019E-11
5.475187559452819E-5      2.065162267980177E-11
5.492194447132294E-5      2.0634013217435643E-11
5.50920133481177E-5       2.0616356735211815E-11
5.526208222491247E-5      2.0598653439750807E-11
5.543215110170724E-5      2.0580903548907564E-11
5.5602219978501995E-5     2.056310706268208E-11
5.577228885529676E-5      2.0545263981074362E-11
5.594235773209153E-5      2.052737430408441E-11
5.611242660888629E-5      2.0509438031712222E-11
5.628249548568105E-5      2.0491455374072972E-11
5.6452564362475814E-5     2.0473426552883943E-11
5.662263323927058E-5      2.045535156814514E-11
5.679270211606533E-5      2.0437230419856564E-11
5.69627709928601E-5       2.0419063108018215E-11
5.7132839869654856E-5     2.0400849632630095E-11
5.730290874644962E-5      2.0382590207247247E-11
5.747297762324438E-5      2.036428505750047E-11
5.764304650003915E-5      2.0345934183389775E-11
5.781311537683391E-5      2.032753758491515E-11
5.7983184253628675E-5     2.030909526207661E-11
5.815325313042344E-5      2.029060721487414E-11
5.83233220072182E-5       2.0272073660228762E-11
5.8493390884012966E-5     2.0253494827758474E-11
5.866345976080773E-5      2.023487071746328E-11
5.8833528637602494E-5     2.021620132934318E-11
5.900359751439725E-5      2.0197486663398168E-11
5.9173666391192015E-5     2.017872671962825E-11
5.934373526798678E-5      2.0159921718235108E-11
5.951380414478154E-5      2.01410718929161E-11
5.96838730215763E-5       2.012217724367123E-11
5.9853941898371064E-5     2.01032377705005E-11
6.0024010775165814E-5     2.0084253473403914E-11
6.019407965196058E-5      2.0065224352381462E-11
6.036414852875534E-5      2.0046150630827166E-11
6.0534217405550106E-5     2.0027032546627496E-11
6.070428628234486E-5      2.0007870099782463E-11
6.087435515913962E-5      1.998866329029206E-11
6.104442403593438E-5      1.996941211815629E-11
6.121449291272915E-5      1.9950116583375152E-11
6.138456178952391E-5      1.9930776912447568E-11
6.155463066631868E-5      1.9911393347583263E-11
6.172469954311344E-5      1.9891965888782244E-11
6.18947684199082E-5       1.987249453604451E-11
6.206483729670297E-5      1.9852979289370062E-11
6.223490617349773E-5      1.98334201487589E-11
6.24049750502925E-5       1.981381734375486E-11
6.257504392708726E-5      1.979417112100474E-11
6.274511280388202E-5      1.9774481480508538E-11
6.291518168067679E-5      1.975474842226626E-11
6.308525055747155E-5      1.9734971946277896E-11
6.325531943426631E-5      1.971515205254345E-11
6.342538831106108E-5      1.9695288973635662E-11
6.359545718785583E-5      1.967538296070253E-11
6.376552606465059E-5      1.9655434013744052E-11
6.393559494144536E-5      1.9635442132760228E-11
6.41056638182401E-5       1.9615407317751058E-11
6.427573269503487E-5      1.9595329568716544E-11
6.444580157182963E-5      1.9575209121283818E-11
6.461587044862441E-5      1.9555046231130307E-11
6.478593932541916E-5      1.9534840898256015E-11
6.495600820221393E-5      1.951459312266094E-11
6.512607707900869E-5      1.9494302904345087E-11
6.529614595580345E-5      1.9473970243308452E-11
6.546621483259822E-5      1.945359537825955E-11
6.5636283709393E-5        1.9433178569442795E-11
6.580635258618774E-5      1.941271981685819E-11
6.597642146298251E-5      1.9392219120505738E-11
6.614649033977727E-5      1.937167648038544E-11
6.631655921657204E-5      1.935109189649729E-11
6.64866280933668E-5       1.9330465610639853E-11
6.665669697016156E-5      1.9309797887692527E-11
6.682676584695633E-5      1.9289088727655313E-11
6.699683472375108E-5      1.9268338130528214E-11
6.716690360054584E-5      1.9247546096311233E-11
