% Model:              ModelMicPlate_Rh100um_hg10um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 14:31
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(w2)
1.1577825159914712E-4     1.9946231546670933E-13
1.162046908315565E-4      2.0031131794347902E-13
1.1663113006396588E-4     2.0116338213963334E-13
1.1705756929637526E-4     2.020185080551723E-13
1.1748400852878464E-4     2.0287669569009578E-13
1.1791044776119402E-4     2.0373794504440394E-13
1.1833688699360342E-4     2.0460219117565178E-13
1.187633262260128E-4      2.0546924683148608E-13
1.1918976545842218E-4     2.0633911201190674E-13
1.1961620469083157E-4     2.0721178671691386E-13
1.2004264392324095E-4     2.0808727094650745E-13
1.2046908315565034E-4     2.0896556470068742E-13
1.2089552238805972E-4     2.0984666797945382E-13
1.2132196162046911E-4     2.1073048831720263E-13
1.2174840085287848E-4     2.1161680501310403E-13
1.2217484008528786E-4     2.1250561806715795E-13
1.2260127931769724E-4     2.1339692747936445E-13
1.2302771855010662E-4     2.1429073324972355E-13
1.23454157782516E-4       2.1518703537823515E-13
1.2388059701492538E-4     2.1608583386489937E-13
1.2430703624733477E-4     2.1698700686165986E-13
1.2473347547974415E-4     2.1789030042324232E-13
1.2515991471215353E-4     2.1879571454964664E-13
1.255863539445629E-4      2.1970324924087299E-13
1.260127931769723E-4      2.2061290449692132E-13
1.2643923240938167E-4     2.2152468031779146E-13
1.2686567164179105E-4     2.2243857670348365E-13
1.2729211087420043E-4     2.233544411182255E-13
1.2771855010660981E-4     2.242719870631013E-13
1.281449893390192E-4      2.2519121453811085E-13
1.2857142857142858E-4     2.2611212354325436E-13
1.2899786780383796E-4     2.270347140785318E-13
1.2942430703624734E-4     2.2795898614394305E-13
1.2985074626865672E-4     2.288849397394882E-13
1.302771855010661E-4      2.2981239086293315E-13
1.3070362473347548E-4     2.30741021610761E-13
1.3113006396588486E-4     2.3167083198297167E-13
1.3155650319829424E-4     2.32601821979565E-13
1.3198294243070362E-4     2.3353399160054134E-13
1.32409381663113E-4       2.344673408459004E-13
1.3283582089552239E-4     2.354018697156423E-13
1.3326226012793177E-4     2.363373624676884E-13
1.3368869936034115E-4     2.372734713668709E-13
1.3411513859275053E-4     2.3821019641318973E-13
1.345415778251599E-4      2.3914753760664495E-13
1.349680170575693E-4      2.400854949472366E-13
1.3539445628997867E-4     2.410240684349646E-13
1.3582089552238805E-4     2.41963258069829E-13
1.3624733475479743E-4     2.4290281658422877E-13
1.3667377398720682E-4     2.4384236837610785E-13
1.371002132196162E-4      2.44781913445466E-13
1.3752665245202558E-4     2.4572145179230345E-13
1.3795309168443496E-4     2.466609834166201E-13
1.3837953091684434E-4     2.476005083184159E-13
1.3880597014925372E-4     2.485400264976909E-13
1.392324093816631E-4      2.494792598232554E-13
1.3965884861407248E-4     2.50417807168427E-13
1.4008528784648186E-4     2.513556685332058E-13
1.4051172707889124E-4     2.5229284391759167E-13
1.4093816631130063E-4     2.532293333215849E-13
1.4136460554371E-4        2.541651367451851E-13
1.417910447761194E-4      2.551002541883925E-13
1.422174840085288E-4      2.560343777546239E-13
1.4264392324093815E-4     2.5696708347010025E-13
1.4307036247334753E-4     2.578983713348217E-13
1.4349680170575694E-4     2.588282413487881E-13
1.4392324093816635E-4     2.597566935119997E-13
1.443496801705757E-4      2.6068372782445615E-13
1.447761194029851E-4      2.616093442861578E-13
1.452025586353945E-4      2.625332067375669E-13
1.4562899786780387E-4     2.634548713509458E-13
1.4605543710021325E-4     2.643743381262945E-13
1.4648187633262263E-4     2.6529160706361316E-13
1.4690831556503201E-4     2.662066781629016E-13
1.473347547974414E-4      2.671195514241599E-13
1.4776119402985075E-4     2.680302268473881E-13
1.4818763326226013E-4     2.689383418936429E-13
1.486140724946695E-4      2.698434361572854E-13
1.490405117270789E-4      2.707455096383156E-13
