% Model:              PLacek_MembTVNJ_ArticleDims_Rh20um_hg5um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 10:54
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(xi)
6.214030029163933E-5      -8.315925804484012E-12
6.256810550694215E-5      -8.084842911973115E-12
6.299591072224495E-5      -7.852974381406962E-12
6.342371593754775E-5      -7.62032021278556E-12
6.385152115285055E-5      -7.386938211317734E-12
6.427932636815337E-5      -7.1528874046072736E-12
6.470713158345617E-5      -6.9181677926541815E-12
6.513493679875897E-5      -6.682779375458456E-12
6.556274201406177E-5      -6.4467221530201E-12
6.599054722936459E-5      -6.209996125339109E-12
6.641835244466739E-5      -5.972601292415486E-12
6.68461576599702E-5       -5.734596901338834E-12
6.727396287527301E-5      -5.496042964794062E-12
6.770176809057582E-5      -5.256939482781169E-12
6.812957330587863E-5      -5.017286455300154E-12
6.855737852118144E-5      -4.777083882351022E-12
6.898518373648426E-5      -4.5363317639337654E-12
6.941298895178706E-5      -4.295030100048391E-12
6.984079416708987E-5      -4.053239316503592E-12
7.026859938239266E-5      -3.81102014931057E-12
7.069640459769546E-5      -3.568372598469324E-12
7.112420981299828E-5      -3.3252966639798545E-12
7.15520150283011E-5       -3.0817923458421626E-12
7.197982024360388E-5      -2.8378596440562464E-12
7.24076254589067E-5       -2.5934985586221076E-12
7.283543067420951E-5      -2.3487704302456068E-12
7.326323588951232E-5      -2.1037364565191805E-12
7.369104110481512E-5      -1.8583966374428275E-12
7.411884632011793E-5      -1.6127509730165482E-12
7.454665153542074E-5      -1.3667994632403433E-12
7.497445675072354E-5      -1.1205421081142112E-12
7.540226196602635E-5      -8.739789076381534E-13
7.583006718132917E-5      -6.27171853383846E-13
7.625787239663197E-5      -3.801823435102045E-13
7.668567761193477E-5      -1.3301037801722905E-13
7.711348282723757E-5      1.143440430950806E-13
7.754128804254038E-5      3.6188091982672404E-13
7.796909325784319E-5      6.096002521777017E-13
7.8396898473146E-5        8.575020401480132E-13
7.88247036884488E-5       1.1055239049480187E-12
7.925250890375161E-5      1.3536045073443434E-12
7.968031411905441E-5      1.6017438473369865E-12
8.010811933435721E-5      1.849941924925949E-12
8.053592454966002E-5      2.098198740111231E-12
8.096372976496282E-5      2.3465142928928306E-12
8.139153498026563E-5      2.5948885832707504E-12
8.181934019556845E-5      2.843259107809947E-12
8.224714541087125E-5      3.0915648433088215E-12
8.267495062617405E-5      3.3398057897673744E-12
8.310275584147686E-5      3.587981947185605E-12
8.353056105677967E-5      3.8360933155635155E-12
8.395836627208249E-5      4.084139894901103E-12
8.438617148738529E-5      4.332121685198369E-12
8.48139767026881E-5       4.579976319082357E-12
8.52417819179909E-5       4.8276433431947925E-12
8.566958713329371E-5      5.075122757535676E-12
8.609739234859652E-5      5.322414562105007E-12
8.652519756389932E-5      5.569518756902787E-12
8.695300277920214E-5      5.8164353419290125E-12
8.738080799450494E-5      6.0631643171836875E-12
8.780861320980776E-5      6.309643709237044E-12
8.823641842511056E-5      6.555813884423662E-12
8.866422364041336E-5      6.801674842743542E-12
8.909202885571618E-5      7.047226584196683E-12
