% Model:              ModelMicPlate_Rh100um_hg10um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:08
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(w2)
4.11764705882353E-5       1.0658623562685507E-10
4.1596638655462194E-5     1.064687146631439E-10
4.2016806722689084E-5     1.0635010215470583E-10
4.2436974789915967E-5     1.0623039810154078E-10
4.285714285714286E-5      1.0610960250364883E-10
4.327731092436975E-5      1.0598771536102996E-10
4.369747899159664E-5      1.0586473667368416E-10
4.411764705882353E-5      1.0574066644161142E-10
4.453781512605042E-5      1.0561551301526229E-10
4.495798319327731E-5      1.0548928864330332E-10
4.53781512605042E-5       1.0536199332573439E-10
4.5798319327731085E-5     1.0523362706255564E-10
4.621848739495798E-5      1.0510418985376701E-10
4.6638655462184864E-5     1.0497368169936845E-10
4.7058823529411754E-5     1.0484210259936004E-10
4.747899159663865E-5      1.0470946154805724E-10
4.789915966386554E-5      1.0457577137378228E-10
4.831932773109242E-5      1.0444103207653506E-10
4.873949579831932E-5      1.0430524365631566E-10
4.915966386554621E-5      1.041684061131241E-10
4.95798319327731E-5       1.040305194469603E-10
4.999999999999999E-5      1.0389158365782429E-10
5.042016806722688E-5      1.0375160837162654E-10
5.0840336134453775E-5     1.0361060698044056E-10
5.1260504201680665E-5     1.0346857948426629E-10
5.1680672268907555E-5     1.0332552588310379E-10
5.210084033613445E-5      1.0318144617695307E-10
5.252100840336134E-5      1.0303634036581405E-10
5.294117647058823E-5      1.028902084496868E-10
5.336134453781512E-5      1.0274306067300877E-10
5.378151260504201E-5      1.0259491097497937E-10
5.420168067226891E-5      1.0244575935559849E-10
5.462184873949579E-5      1.0229560581486627E-10
5.5042016806722686E-5     1.0214445035278262E-10
5.546218487394958E-5      1.0199229296934758E-10
5.5882352941176466E-5     1.0183913366456113E-10
5.6302521008403355E-5     1.016849832875337E-10
5.6722689075630245E-5     1.0152985630728306E-10
5.714285714285714E-5      1.0137375272380916E-10
5.7563025210084025E-5     1.0121667253711204E-10
5.798319327731092E-5      1.010586157471917E-10
5.840336134453782E-5      1.0089958235404813E-10
5.88235294117647E-5       1.0073957235768132E-10
5.92436974789916E-5       1.0057859719725315E-10
5.966386554621848E-5      1.0041667185363323E-10
6.008403361344538E-5      1.0025379632682145E-10
6.050420168067226E-5      1.0008997061681792E-10
6.0924369747899156E-5     9.992519472362258E-11
6.134453781512605E-5      9.975946864723543E-11
6.176470588235294E-5      9.959279238765652E-11
6.218487394957983E-5      9.942517795873313E-11
6.260504201680672E-5      9.925664083459026E-11
6.302521008403361E-5      9.908718101522784E-11
6.34453781512605E-5       9.891679850064591E-11
6.386554621848739E-5      9.874549329084448E-11
6.428571428571429E-5      9.857326538582354E-11
6.470588235294117E-5      9.840011478558305E-11
6.512605042016805E-5      9.822605406256951E-11
6.554621848739495E-5      9.80510991649668E-11
6.596638655462185E-5      9.787525009277483E-11
6.638655462184873E-5      9.769850684599371E-11
6.680672268907563E-5      9.752086942462339E-11
6.722689075630252E-5      9.734233782866386E-11
6.76470588235294E-5       9.716291205811513E-11
6.806722689075629E-5      9.698260522724111E-11
6.848739495798319E-5      9.680143373852047E-11
6.890756302521008E-5      9.661939759195312E-11
6.932773109243696E-5      9.643649678753917E-11
6.974789915966386E-5      9.625273132527858E-11
7.016806722689076E-5      9.606810120517131E-11
7.058823529411764E-5      9.588260642721741E-11
7.100840336134452E-5      9.56962606300482E-11
7.142857142857142E-5      9.550908065013868E-11
7.184873949579832E-5      9.532106648748882E-11
7.22689075630252E-5       9.513221814209871E-11
