% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 13:50
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(w2)
2.6808510638297866E-5     -3.0182523270988364E-12
2.7234042553191484E-5     -2.995074087962383E-12
2.7659574468085102E-5     -2.9715763817756336E-12
2.808510638297872E-5      -2.9477592085385887E-12
2.8510638297872334E-5     -2.9236225682512465E-12
2.8936170212765952E-5     -2.899166460913609E-12
2.936170212765957E-5      -2.8743961027923615E-12
2.9787234042553185E-5     -2.849321058405609E-12
3.02127659574468E-5       -2.8239413277533524E-12
3.063829787234042E-5      -2.7982569108355903E-12
3.106382978723404E-5      -2.7722678076523244E-12
3.148936170212765E-5      -2.745974018203553E-12
3.191489361702127E-5      -2.719375542489277E-12
3.2340425531914886E-5     -2.692478409045054E-12
3.2765957446808504E-5     -2.6652926594085128E-12
3.319148936170212E-5      -2.637818293579652E-12
3.361702127659574E-5      -2.610055311558472E-12
3.404255319148936E-5      -2.582003713344975E-12
3.4468085106382976E-5     -2.5536634989391573E-12
3.4893617021276594E-5     -2.525034668341022E-12
3.531914893617021E-5      -2.4961239555102272E-12
3.574468085106383E-5      -2.4669418936069423E-12
3.617021276595744E-5      -2.437488482631167E-12
3.659574468085106E-5      -2.407763722582902E-12
3.702127659574468E-5      -2.377767613462147E-12
3.744680851063829E-5      -2.3475001552689013E-12
3.7872340425531907E-5     -2.3169613480031656E-12
3.8297872340425525E-5     -2.2861585820887945E-12
3.8723404255319136E-5     -2.2551028468586435E-12
3.914893617021275E-5      -2.223794142312711E-12
3.957446808510637E-5      -2.1922324684509975E-12
3.999999999999998E-5      -2.160417825273504E-12
4.04255319148936E-5       -2.1283502127802293E-12
4.085106382978722E-5      -2.096029630971174E-12
4.127659574468084E-5      -2.0634640868687203E-12
4.1702127659574455E-5     -2.0306649788710354E-12
4.2127659574468066E-5     -1.9976323069781206E-12
4.255319148936169E-5      -1.964366071189975E-12
4.29787234042553E-5       -1.9308662715065995E-12
4.340425531914893E-5      -1.8971329079279927E-12
4.382978723404254E-5      -1.863165980454156E-12
4.4255319148936156E-5     -1.828974072209536E-12
4.4680851063829774E-5     -1.7945689398446589E-12
4.5106382978723385E-5     -1.7599505833595254E-12
4.5531914893616997E-5     -1.725119002754135E-12
4.5957446808510615E-5     -1.6900741980284884E-12
4.638297872340423E-5      -1.6548161691825846E-12
4.680851063829785E-5      -1.6193449162164244E-12
4.7234042553191475E-5     -1.5836695555536377E-12
4.765957446808508E-5      -1.54780214932251E-12
4.8085106382978704E-5     -1.511742697523041E-12
4.851063829787232E-5      -1.4754912001552312E-12
4.893617021276594E-5      -1.4390476572190807E-12
4.936170212765956E-5      -1.4024120687145884E-12
4.9787234042553176E-5     -1.3655844346417558E-12
5.02127659574468E-5       -1.3285743595030226E-12
5.0638297872340406E-5     -1.2913941567152899E-12
5.1063829787234024E-5     -1.2540438262785574E-12
5.148936170212764E-5      -1.2165233681928257E-12
5.191489361702126E-5      -1.1788327824580948E-12
5.234042553191487E-5      -1.1409720690743638E-12
5.276595744680849E-5      -1.1029412280416334E-12
5.319148936170211E-5      -1.0647503044919583E-12
5.3617021276595725E-5     -1.026411807851408E-12
5.404255319148934E-5      -9.879257381199821E-13
5.446808510638296E-5      -9.49292095297681E-13
5.489361702127658E-5      -9.105108793845048E-13
5.53191489361702E-5       -8.715820903804529E-13
5.5744680851063815E-5     -8.325057282855258E-13
5.617021276595743E-5      -7.932922294302515E-13
5.6595744680851044E-5     -7.539542431669753E-13
5.7021276595744655E-5     -7.144917694956969E-13
5.744680851063827E-5      -6.74904808416416E-13
5.7872340425531884E-5     -6.351933599291334E-13
5.82978723404255E-5       -5.953574240338483E-13
5.8723404255319114E-5     -5.553970007305612E-13
5.914893617021274E-5      -5.153228663966114E-13
5.9574468085106356E-5     -4.751477537058096E-13
5.999999999999997E-5      -4.348716626581558E-13
6.042553191489359E-5      -3.9449459325365E-13
6.085106382978722E-5      -3.540165454922923E-13
6.127659574468083E-5      -3.1343751937408243E-13
6.170212765957445E-5      -2.727575148990207E-13
6.212765957446806E-5      -2.3198759588776527E-13
