% Model:              ModelMicPlate_Rh100um_hg10um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:08
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(w2)
1.004264392324094E-4      9.919448826846691E-12
1.0085287846481877E-4     9.884365869473542E-12
1.0127931769722815E-4     9.849228999793351E-12
1.0170575692963754E-4     9.814038217806119E-12
1.0213219616204692E-4     9.77879352351185E-12
1.025586353944563E-4      9.743494916910534E-12
1.0298507462686569E-4     9.70814239800218E-12
1.0341151385927508E-4     9.672738299499475E-12
1.0383795309168445E-4     9.637287561476215E-12
1.0426439232409383E-4     9.601790183932403E-12
1.0469083155650321E-4     9.56624616686804E-12
1.0511727078891259E-4     9.530655510283124E-12
1.0554371002132197E-4     9.495018214177655E-12
1.0597014925373135E-4     9.459334278551632E-12
1.0639658848614073E-4     9.423606867260737E-12
1.0682302771855012E-4     9.38784009239875E-12
1.0724946695095948E-4     9.352033953965665E-12
1.0767590618336888E-4     9.31618845196149E-12
1.0810234541577824E-4     9.280303586386224E-12
1.0852878464818763E-4     9.24437935723986E-12
1.0895522388059701E-4     9.208415764522404E-12
1.093816631130064E-4      9.172416324882554E-12
1.0980810234541578E-4     9.136384885333607E-12
1.1023454157782515E-4     9.100321445875567E-12
1.1066098081023454E-4     9.064226006508435E-12
1.1108742004264393E-4     9.02809856723221E-12
1.115138592750533E-4      8.991939128046889E-12
1.1194029850746269E-4     8.955747688952476E-12
1.1236673773987208E-4     8.919527840231183E-12
1.1279317697228145E-4     8.883283356563342E-12
1.1321961620469083E-4     8.847014237948952E-12
1.1364605543710021E-4     8.810720484388017E-12
1.1407249466950959E-4     8.774402095880535E-12
1.1449893390191897E-4     8.738059072426504E-12
1.1492537313432836E-4     8.701691414025925E-12
1.1535181236673775E-4     8.665302726598864E-12
1.1577825159914712E-4     8.628896740511624E-12
1.162046908315565E-4      8.592473455764201E-12
1.1663113006396588E-4     8.556032872356601E-12
1.1705756929637526E-4     8.519574990288822E-12
1.1748400852878464E-4     8.483099809560861E-12
1.1791044776119402E-4     8.44660733017272E-12
1.1833688699360342E-4     8.410101155460032E-12
1.187633262260128E-4      8.373584970104223E-12
1.1918976545842218E-4     8.337058774105292E-12
1.1961620469083157E-4     8.300522567463243E-12
1.2004264392324095E-4     8.263976350178074E-12
1.2046908315565034E-4     8.22742012224978E-12
1.2089552238805972E-4     8.19085388367837E-12
1.2132196162046911E-4     8.154281224606177E-12
1.2174840085287848E-4     8.117705777740743E-12
1.2217484008528786E-4     8.081127543082062E-12
1.2260127931769724E-4     8.044546520630135E-12
1.2302771855010662E-4     8.007962710384968E-12
1.23454157782516E-4       7.971376112346552E-12
1.2388059701492538E-4     7.934786726514893E-12
1.2430703624733477E-4     7.898198120976993E-12
1.2473347547974415E-4     7.861613869645454E-12
1.2515991471215353E-4     7.825033972520271E-12
1.255863539445629E-4      7.788458429601445E-12
1.260127931769723E-4      7.751887240888983E-12
1.2643923240938167E-4     7.715320406382876E-12
1.2686567164179105E-4     7.678757926083129E-12
1.2729211087420043E-4     7.642203337836905E-12
1.2771855010660981E-4     7.605660150162714E-12
1.281449893390192E-4      7.569128363060554E-12
1.2857142857142858E-4     7.532607976530427E-12
1.2899786780383796E-4     7.496098990572334E-12
1.2942430703624734E-4     7.45960140518627E-12
1.2985074626865672E-4     7.423115220372239E-12
1.302771855010661E-4      7.386643936019219E-12
1.3070362473347548E-4     7.350190988982351E-12
1.3113006396588486E-4     7.313756379261634E-12
1.3155650319829424E-4     7.277340106857068E-12
1.3198294243070362E-4     7.240942171768659E-12
1.32409381663113E-4       7.204562573996397E-12
1.3283582089552239E-4     7.16820131354029E-12
1.3326226012793177E-4     7.1318618450201596E-12
1.3368869936034115E-4     7.095547527688042E-12
1.3411513859275053E-4     7.059258361543935E-12
1.345415778251599E-4      7.022994346587838E-12
1.349680170575693E-4      6.986755482819755E-12
1.3539445628997867E-4     6.95054177023968E-12
1.3582089552238805E-4     6.914353208847617E-12
