% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 13:46
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(w2)
1.2851063829787224E-4     -6.433729468612018E-11
1.2893617021276588E-4     -6.413390838198307E-11
1.293617021276595E-4      -6.393022779033084E-11
1.297872340425531E-4      -6.372625291116341E-11
1.302127659574467E-4      -6.352198374448084E-11
1.3063829787234032E-4     -6.331743128433126E-11
1.3106382978723396E-4     -6.31126076543208E-11
1.3148936170212755E-4     -6.290751285444948E-11
1.3191489361702118E-4     -6.270214688471727E-11
1.3234042553191482E-4     -6.249650974512423E-11
1.3276595744680843E-4     -6.229060143567027E-11
1.3319148936170205E-4     -6.208442195635547E-11
1.3361702127659568E-4     -6.187798245762222E-11
1.340425531914893E-4      -6.167129520490053E-11
1.344680851063829E-4      -6.146436019819034E-11
1.3489361702127652E-4     -6.125717743749167E-11
1.3531914893617016E-4     -6.104974692280456E-11
1.3574468085106377E-4     -6.084206865412895E-11
1.3617021276595738E-4     -6.063414263146487E-11
1.36595744680851E-4       -6.042598015914014E-11
1.370212765957446E-4      -6.021759364232677E-11
1.374468085106382E-4      -6.000898308102479E-11
1.3787234042553182E-4     -5.980014847523418E-11
1.3829787234042546E-4     -5.959108982495498E-11
1.3872340425531907E-4     -5.938180713018713E-11
1.3914893617021268E-4     -5.917230039093069E-11
1.395744680851063E-4      -5.896258106297196E-11
1.399999999999999E-4      -5.875266168920784E-11
1.4042553191489352E-4     -5.854254226963829E-11
1.4085106382978716E-4     -5.833222280426333E-11
1.4127659574468077E-4     -5.812170329308296E-11
1.4170212765957438E-4     -5.7910983736097166E-11
1.42127659574468E-4       -5.770006413330597E-11
1.4255319148936163E-4     -5.748895608960663E-11
1.429787234042552E-4      -5.727767228366428E-11
1.4340425531914882E-4     -5.706621271547889E-11
1.4382978723404246E-4     -5.6854577385050496E-11
1.4425531914893607E-4     -5.66427662923791E-11
1.446808510638297E-4      -5.643077943746466E-11
1.4510638297872332E-4     -5.621861682030721E-11
1.4553191489361696E-4     -5.6006290192642067E-11
1.4595744680851054E-4     -5.5793812367005406E-11
1.4638297872340416E-4     -5.55811833433972E-11
1.468085106382978E-4      -5.536840312181747E-11
1.472340425531914E-4      -5.515547170226623E-11
1.4765957446808502E-4     -5.4942389084743435E-11
1.4808510638297863E-4     -5.472915526924912E-11
1.4851063829787224E-4     -5.451578215215538E-11
1.4893617021276588E-4     -5.4302282678028925E-11
1.493617021276595E-4      -5.4088656846869764E-11
1.497872340425531E-4      -5.387490465867788E-11
1.5021276595744674E-4     -5.36610261134533E-11
1.5063829787234035E-4     -5.3447021211195986E-11
1.5106382978723396E-4     -5.3232889951905975E-11
1.5148936170212757E-4     -5.301864437445988E-11
1.519148936170212E-4      -5.28042975536684E-11
1.523404255319148E-4      -5.258984948953155E-11
1.5276595744680843E-4     -5.2375300182049327E-11
1.5319148936170204E-4     -5.216064963122174E-11
1.5361702127659563E-4     -5.194589783704876E-11
1.5404255319148927E-4     -5.173104479953042E-11
1.5446808510638288E-4     -5.1516102697981346E-11
1.548936170212765E-4      -5.1301084735721855E-11
1.553191489361701E-4      -5.108599091275193E-11
1.557446808510637E-4      -5.0870821229071576E-11
1.5617021276595732E-4     -5.065557568468083E-11
1.5659574468085093E-4     -5.044025427957963E-11
1.5702127659574457E-4     -5.0224857013768015E-11
1.574468085106382E-4      -5.0009396204994766E-11
1.578723404255318E-4      -4.9793885183406224E-11
1.5829787234042543E-4     -4.9578323949002396E-11
1.5872340425531904E-4     -4.936271250178326E-11
1.5914893617021266E-4     -4.914705084174885E-11
1.595744680851063E-4      -4.893133896889913E-11
1.599999999999999E-4      -4.871557688323412E-11
1.6042553191489354E-4     -4.8499777038993424E-11
1.6085106382978715E-4     -4.8283952891513926E-11
1.6127659574468077E-4     -4.806810444079563E-11
1.6170212765957438E-4     -4.7852231686838536E-11
1.62127659574468E-4       -4.763633462964265E-11
1.6255319148936163E-4     -4.7420413269207955E-11
1.6297872340425524E-4     -4.720446760553447E-11
1.6340425531914885E-4     -4.698851022746735E-11
1.6382978723404246E-4     -4.67725547139455E-11
1.642553191489361E-4      -4.655660106496891E-11
1.646808510638297E-4      -4.634064928053758E-11
1.6510638297872332E-4     -4.612469936065153E-11
1.6553191489361693E-4     -4.590875130531073E-11
1.6595744680851054E-4     -4.56928051145152E-11
1.6638297872340415E-4     -4.5476873509886155E-11
1.668085106382978E-4      -4.5260970192421344E-11
1.6723404255319138E-4     -4.504509516212073E-11
1.6765957446808501E-4     -4.482924841898434E-11
1.6808510638297863E-4     -4.4613429963012197E-11
1.6851063829787224E-4     -4.439763979420424E-11
1.6893617021276588E-4     -4.418187791256051E-11
1.693617021276595E-4      -4.396615717070195E-11
1.697872340425531E-4      -4.3750491390186184E-11
1.702127659574467E-4      -4.3534880571013204E-11
1.7063829787234032E-4     -4.331932471318301E-11
1.7106382978723396E-4     -4.310382381669562E-11
1.7148936170212757E-4     -4.2888377881550994E-11
1.7191489361702118E-4     -4.267298690774917E-11
1.7234042553191482E-4     -4.245766387718654E-11
1.7276595744680843E-4     -4.224242273052395E-11
1.7319148936170204E-4     -4.20272634677614E-11
1.7361702127659565E-4     -4.181218608889892E-11
1.7404255319148926E-4     -4.159719059393649E-11
1.744680851063829E-4      -4.138227698287411E-11
1.7489361702127651E-4     -4.116744525571178E-11
1.7531914893617015E-4     -4.095270852194688E-11
1.7574468085106374E-4     -4.073808083992879E-11
1.7617021276595735E-4     -4.0523562209657477E-11
1.7659574468085099E-4     -4.0309152631132974E-11
1.770212765957446E-4      -4.009485210435528E-11
1.774468085106382E-4      -3.988066062932436E-11
1.7787234042553182E-4     -3.966657820604025E-11
1.7829787234042543E-4     -3.94526180699747E-11
1.7872340425531904E-4     -3.923879439579163E-11
1.7914893617021265E-4     -3.902510718349103E-11
1.795744680851063E-4      -3.881155643307292E-11
1.7999999999999993E-4     -3.8598142144537296E-11
1.8042553191489351E-4     -3.838486431788414E-11
1.8085106382978715E-4     -3.8171722953113466E-11
1.8127659574468076E-4     -3.7958731410091696E-11
1.8170212765957437E-4     -3.7745903978462995E-11
1.8212765957446799E-4     -3.753324065822735E-11
1.825531914893616E-4      -3.732074144938476E-11
1.829787234042552E-4      -3.710840635193525E-11
1.8340425531914882E-4     -3.6896235365878775E-11
1.8382978723404243E-4     -3.668422849121538E-11
1.8425531914893607E-4     -3.6472399210671787E-11
1.8468085106382968E-4     -3.626076192757729E-11
1.851063829787233E-4      -3.6049316641931886E-11
1.8553191489361693E-4     -3.58380633537356E-11
1.8595744680851054E-4     -3.5627002062988406E-11
1.8638297872340418E-4     -3.54161327696903E-11
